,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,329,1.3753799392097263,1.1300908898095237,82.99088145896657,9.432199108020582,1.8358662613981762
yoshiyasu,0.08206686930091185,27,1.3148148148148149,1.13635845634665,82.55555555555556,8.527481968198392,1.5555555555555556
satsuki,0.0364741641337386,12,0.6666666666666666,0.7784989441615231,77.58333333333333,5.451577475345734,1.8333333333333333
gotozaemon,0.08206686930091185,27,1.0740740740740742,1.115482852536064,79.25925925925925,10.34628358617644,1.5185185185185186
umegae,0.0668693009118541,22,1.3863636363636365,1.0682854329409188,84.13636363636364,10.507573026588533,1.9090909090909092
kita,0.0790273556231003,26,1.3076923076923077,1.1231822922119374,82.23076923076923,10.91900249036584,2.1923076923076925
mitsukuni,0.0364741641337386,12,0.75,1.0552897060221726,77.0,9.591663046625438,1.5
chuubei,0.0851063829787234,28,1.9464285714285714,1.0031366152140337,87.39285714285714,7.4103995279621175,2.392857142857143
kinko,0.11246200607902736,37,1.5810810810810811,1.0769911373404657,86.89189189189189,8.252217829111098,1.7297297297297298
zenemon,0.0729483282674772,24,1.2291666666666667,1.1031493125579606,81.70833333333333,8.467221538362518,1.7083333333333333
daigoro,0.06990881458966565,23,1.7173913043478262,1.1364426849976137,85.21739130434783,8.764372724217738,2.0869565217391304
jirocho,0.0486322188449848,16,1.0,1.2110601416389966,79.5,11.40175425099138,1.3125
hirotada,0.0911854103343465,30,1.9166666666666667,1.09924216318941,87.36666666666666,7.341348806510325,1.7333333333333334
hiroshige,0.0547112462006079,18,1.7222222222222223,1.2274102605536659,85.83333333333333,8.240859464029366,2.6666666666666665
nampo,0.02127659574468085,7,1.0,1.1547005383792515,77.0,11.547005383792516,2.0
sasayakko,0.0486322188449848,16,0.8125,0.75,77.75,5.409867527644892,1.25
miyataka,0.0121580547112462,4,0.0,0.0,71.75,6.13052471924984,1.75
1,0.2553191489361702,84,1.2083333333333333,1.041917640448568,81.53571428571429,8.942178959509246,1.5952380952380953
2,0.24316109422492402,80,1.31875,1.1590146131165564,81.95,8.602178116874258,1.8125
3,0.2613981762917933,86,1.5872093023255813,1.1712031532852833,85.55813953488372,9.948815656576226,1.9534883720930232
4,0.24012158054711247,79,1.379746835443038,1.1300532942770993,82.79746835443038,9.773564222491466,1.9873417721518987
