,table_id,traveler,position,placement,points,achievements
0,104584350,gotozaemon,3,0.0,64,2
1,101140342,umegae,3,1.0,73,2
2,101140342,satsuki,2,0.0,71,3
3,114020407,kita,3,3.0,111,4
4,114020407,mitsukuni,2,2.0,81,1
5,105660309,kita,4,3.0,98,4
6,105660309,yoshiyasu,3,0.0,69,0
7,102980099,chuubei,1,3.0,92,3
8,102980099,kinko,3,1.0,88,2
9,108731837,chuubei,4,3.0,91,3
10,108731837,zenemon,1,2.0,86,3
11,108731837,daigoro,2,1.0,82,1
12,102781452,satsuki,4,1.0,81,3
13,102781452,daigoro,2,0.0,79,2
14,105097995,zenemon,3,3.0,92,2
15,105097995,hiroshige,1,2.0,83,2
16,137100251,kinko,3,3.0,107,4
17,137100251,hirotada,2,0.0,70,1
18,160949624,jirocho,2,0.0,71,2
19,159591600,gotozaemon,3,0.0,78,1
20,158061004,hirotada,1,2.0,85,2
21,161031214,hirotada,2,3.0,86,2
22,161031214,kinko,4,2.0,81,2
23,149621536,hirotada,4,0.0,79,0
24,160465672,mitsukuni,2,0.0,84,3
25,160230322,mitsukuni,1,0.0,63,0
26,159607708,yoshiyasu,1,1.0,78,1
27,156395115,jirocho,1,1.0,79,0
28,156395115,gotozaemon,3,0.0,68,2
29,152591322,kita,4,2.0,86,3
30,152591322,umegae,3,0.0,75,2
31,150769686,hirotada,4,2.0,83,4
32,150769686,satsuki,2,1.0,81,2
33,154186590,hiroshige,2,1.0,77,2
34,154168334,kita,3,0.0,70,2
35,149855059,nampo,4,0.0,59,0
36,150485149,mitsukuni,3,2.0,78,2
37,150485149,zenemon,1,1.0,75,1
38,154428750,kinko,2,2.0,83,2
39,153918582,daigoro,4,2.0,91,1
40,159449151,chuubei,3,3.0,95,2
41,158290218,daigoro,4,3.0,103,2
42,158290218,kinko,1,1.0,89,2
43,153492321,umegae,4,2.5,93,2
44,153492321,hiroshige,1,0.0,72,1
45,153390140,kita,1,2.0,83,3
46,153390140,chuubei,4,1.0,73,2
47,153390140,jirocho,3,0.0,72,2
48,150720257,mitsukuni,2,2.0,91,2
49,150720257,zenemon,1,1.0,79,1
50,150720257,hiroshige,3,0.0,75,2
51,147961913,kinko,2,3.0,101,3
52,147961913,zenemon,3,2.0,93,1
53,147961913,gotozaemon,4,0.0,63,1
54,147782101,sasayakko,3,2.0,81,2
55,147782101,kinko,1,0.0,76,2
56,146400381,sasayakko,1,1.0,75,2
57,146010626,chuubei,4,2.0,87,3
58,146010626,yoshiyasu,3,0.0,82,0
59,145995352,kinko,2,2.0,86,2
60,145995352,yoshiyasu,1,1.0,73,1
61,145995352,umegae,4,0.0,68,1
62,144951653,umegae,2,3.0,101,2
63,144951653,chuubei,1,2.0,87,2
64,143989987,yoshiyasu,1,3.0,86,2
65,143989987,jirocho,3,0.0,67,1
66,143201012,jirocho,3,3.0,97,1
67,143201012,kita,4,2.0,96,4
68,143201012,hirotada,1,0.0,80,0
69,142181264,kinko,4,2.0,91,1
70,156856387,gotozaemon,3,2.0,87,3
71,156856387,satsuki,1,0.0,78,1
72,159880124,hirotada,4,3.0,91,3
73,159880124,zenemon,1,0.0,78,1
74,152758502,gotozaemon,3,2.0,86,1
75,152758502,jirocho,1,0.0,83,1
76,152271450,miyataka,2,0.0,78,1
77,149011910,gotozaemon,1,1.0,85,1
78,136814355,yoshiyasu,2,3.0,84,3
79,136814355,chuubei,1,2.0,75,3
80,136814355,kinko,4,0.0,70,0
81,154193996,gotozaemon,1,1.0,71,2
82,156308486,daigoro,1,2.0,85,2
83,141966995,daigoro,4,3.0,87,2
84,141966995,satsuki,1,1.0,79,1
85,157248635,daigoro,2,3.0,81,2
86,157696954,daigoro,1,2.0,87,3
87,157696954,yoshiyasu,3,1.0,72,3
88,157696954,mitsukuni,2,0.0,70,0
89,144998178,satsuki,4,0.0,77,2
90,156288880,hirotada,1,1.0,80,0
91,156288880,chuubei,2,0.0,77,1
92,152862020,daigoro,3,3.0,93,3
93,152862020,hirotada,1,2.0,84,2
94,152862020,kinko,2,0.0,72,0
95,147913883,jirocho,2,0.0,77,1
96,136872949,kinko,4,3.0,104,3
97,136872949,kita,2,1.0,79,2
98,152772653,zenemon,4,3.0,93,2
99,152772653,hirotada,3,2.0,80,1
100,148943414,jirocho,3,1.0,76,1
101,194474486,umegae,3,3.0,95,3
102,194474486,jirocho,4,2.0,90,3
103,194378889,kinko,4,1.0,81,1
104,194378889,hiroshige,1,0.0,73,2
105,194320528,hirotada,1,1.0,82,2
106,194320528,hiroshige,4,0.0,76,3
107,194281334,kinko,4,1.0,89,2
108,194178913,sasayakko,1,2.0,85,1
109,193918647,hirotada,4,2.0,92,1
110,193903008,hirotada,1,3.0,90,3
111,193903008,daigoro,4,1.0,77,2
112,193704222,kinko,2,1.0,89,0
113,193704222,jirocho,1,0.0,61,1
114,193683434,sasayakko,2,1.0,78,2
115,193683434,yoshiyasu,1,0.0,76,0
116,193681700,hiroshige,2,3.0,89,1
117,193681700,daigoro,3,0.0,78,2
118,193632631,nampo,3,2.0,90,3
119,193632631,yoshiyasu,2,0.0,77,2
120,193412832,umegae,3,3.0,109,4
121,193211699,gotozaemon,2,3.0,90,2
122,193211699,hirotada,1,2.0,89,3
123,193211699,umegae,3,0.0,82,1
124,192722022,sasayakko,1,0.0,66,0
125,192712785,chuubei,2,2.0,85,3
126,192717161,hiroshige,3,2.0,92,3
127,192482068,jirocho,2,0.0,78,2
128,192466640,daigoro,2,1.0,91,1
129,192203756,kita,2,3.0,95,3
130,192203756,chuubei,3,1.0,82,1
131,192092299,zenemon,4,0.0,70,1
132,192090142,zenemon,2,0.0,79,2
133,192082915,hiroshige,2,2.0,94,2
134,192076056,kita,4,2.0,77,3
135,192076056,jirocho,2,0.0,73,1
136,192050283,hiroshige,3,3.0,98,5
137,192050283,daigoro,2,0.0,82,1
138,192014208,yoshiyasu,3,3.0,93,2
139,191638428,daigoro,1,1.0,84,1
140,191638428,satsuki,4,0.0,78,3
141,191627245,gotozaemon,1,3.0,98,1
142,191627245,kita,2,1.0,85,3
143,191627245,satsuki,4,0.0,73,1
144,191615296,hiroshige,4,2.5,85,2
145,191615296,gotozaemon,1,1.0,71,1
146,191582006,gotozaemon,4,3.0,97,3
147,191582006,kinko,3,1.0,81,2
148,191544759,gotozaemon,1,2.0,92,3
149,191544759,umegae,4,0.0,80,1
150,191492722,umegae,3,2.0,87,1
151,191492722,kinko,1,1.0,84,1
152,191252669,zenemon,4,2.0,88,2
153,191252669,sasayakko,2,0.0,70,2
154,189591229,jirocho,3,2.0,91,2
155,189591229,kita,1,1.0,88,2
156,189567350,umegae,1,2.0,90,2
157,189567350,yoshiyasu,2,1.0,78,1
158,187282089,hirotada,2,0.0,78,1
159,187242551,chuubei,3,2.0,89,2
160,187242551,hirotada,4,1.0,85,0
161,185849773,gotozaemon,2,1.0,75,2
162,185422585,yoshiyasu,2,1.0,85,1
163,185422585,kita,3,0.0,73,1
164,185367063,zenemon,1,0.0,70,2
165,186815978,kita,1,1.0,75,1
166,186815978,mitsukuni,3,0.0,72,2
167,185346856,kita,4,0.0,68,1
168,194268229,yoshiyasu,3,3.0,89,1
169,194268229,jirocho,2,0.0,61,0
170,193822005,kinko,2,3.0,87,2
171,193822005,hiroshige,3,1.0,81,3
172,193815857,hirotada,4,3.0,94,3
173,193815857,yoshiyasu,2,1.0,79,1
174,193802809,kinko,4,2.0,86,3
175,193802809,sasayakko,2,0.0,74,1
176,193803541,chuubei,1,3.0,100,4
177,193803541,daigoro,4,1.0,82,1
178,190039027,kita,1,2.0,91,2
179,190034163,hirotada,1,3.0,95,4
180,185418394,gotozaemon,4,0.0,74,1
181,186548456,sasayakko,4,0.0,82,0
182,186267251,yoshiyasu,1,2.0,82,1
183,186267251,kinko,3,1.0,78,1
184,191239114,hiroshige,2,3.0,89,3
185,191239114,hirotada,3,0.0,72,1
186,187473361,chuubei,4,1.0,77,1
187,187235507,kinko,4,1.0,81,1
188,186674621,chuubei,1,3.0,90,2
