,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,1358,1.9444035346097202,1.0344302939591614,79.25625920471282,6.722788804676006,2.2614138438880707
mitsukuni,0.045655375552282766,62,1.6693548387096775,1.0438875496372577,77.75806451612904,6.713542672008884,1.967741935483871
satsuki,0.027245949926362298,37,1.7027027027027026,1.1987230443004495,77.56756756756756,7.840565953709877,2.5135135135135136
hirotada,0.15832106038291605,215,1.986046511627907,1.0411131254011898,79.66976744186047,6.738629567674491,1.9441860465116279
chuubei,0.13033873343151695,177,2.1412429378531073,0.9870436993920266,80.48587570621469,5.9763809212835035,2.847457627118644
kinko,0.19072164948453607,259,2.194980694980695,0.9802378189992546,81.2084942084942,6.6515549597607855,2.27027027027027
yoshiyasu,0.18262150220913106,248,1.9213709677419355,1.0044772924544123,78.9475806451613,6.369308540887037,2.125
zenemon,0.09204712812960236,125,1.792,1.0183478080030002,78.36,7.094295754905098,2.136
umegae,0.10309278350515463,140,1.8,1.040199206156786,78.24285714285715,6.820273870080165,2.2142857142857144
hiroshige,0.04933726067746686,67,1.828358208955224,1.0020896303814124,77.05970149253731,5.675253557317612,2.8358208955223883
sasayakko,0.020618556701030927,28,0.875,0.8347210667398177,72.85714285714286,5.522440990844039,1.8571428571428572
1,0.25257731958762886,343,1.7623906705539358,1.0833466121320419,77.91545189504373,6.519549572070082,2.271137026239067
2,0.24521354933726067,333,1.9804804804804805,1.020310493615989,79.4084084084084,6.506821364263436,2.2282282282282284
3,0.24815905743740796,337,2.0534124629080117,0.9812810135645689,79.78635014836796,6.6073140413724065,2.314540059347181
4,0.2540500736377025,345,1.9840579710144928,1.0303001352628318,79.92463768115942,7.070253889168122,2.2318840579710146
