,table_id,traveler,position,placement,points,achievements
0,175279215,mitsukuni,1,2.0,83,2
1,175287513,satsuki,3,3.0,89,2
2,175416224,hirotada,1,3.0,90,2
3,175236980,mitsukuni,3,3.0,89,2
4,175445611,chuubei,3,3.0,80,2
5,175391790,mitsukuni,3,2.0,79,1
6,175480454,kinko,3,3.0,86,3
7,171576483,chuubei,1,3.0,90,3
8,170350401,kinko,3,2.0,90,2
9,175198049,yoshiyasu,2,3.0,91,2
10,175213237,kinko,3,3.0,84,1
11,171466872,zenemon,3,3.0,78,2
12,171466872,kinko,2,2.0,77,2
13,169190432,kinko,2,2.0,84,4
14,175226550,hirotada,3,1.0,72,1
15,175161827,kinko,1,1.5,74,2
16,175165623,zenemon,1,1.0,76,3
17,171544707,satsuki,4,3.0,93,3
18,169104183,kinko,3,2.0,81,2
19,171450658,kinko,3,3.0,82,3
20,171450658,hirotada,1,1.0,74,0
21,171054052,kinko,1,3.0,90,4
22,171054052,yoshiyasu,3,0.0,66,2
23,169112961,hirotada,3,3.0,83,1
24,169112961,yoshiyasu,2,2.0,77,3
25,169293721,chuubei,3,3.0,82,2
26,170381808,satsuki,1,3.0,78,2
27,170381808,zenemon,4,1.0,68,2
28,171569056,hirotada,4,3.0,81,2
29,170134588,yoshiyasu,1,3.0,85,3
30,170134588,mitsukuni,3,1.0,75,1
31,170836514,chuubei,3,3.0,83,3
32,170836514,zenemon,4,1.0,78,1
33,171410318,satsuki,3,1.0,73,3
34,171410318,yoshiyasu,4,0.0,69,1
35,170265297,kinko,1,3.0,83,1
36,170222979,hirotada,2,3.0,86,2
37,170222979,satsuki,1,2.0,79,1
38,170745010,yoshiyasu,1,3.0,77,2
39,170745010,kinko,3,1.0,74,3
40,170146503,zenemon,2,3.0,84,3
41,170146503,yoshiyasu,1,1.0,74,1
42,170747178,mitsukuni,1,3.0,85,3
43,169248787,yoshiyasu,4,2.0,76,3
44,169683726,hirotada,4,3.0,84,1
45,169683726,kinko,1,1.0,75,2
46,169866677,yoshiyasu,1,2.0,78,1
47,169866677,hirotada,2,1.0,77,2
48,170374569,kinko,4,3.0,79,2
49,170374569,mitsukuni,3,0.0,73,1
50,169329204,umegae,1,3.0,77,2
51,169329204,kinko,2,1.0,74,3
52,169886452,satsuki,3,3.0,91,4
53,169886452,yoshiyasu,2,2.0,73,3
54,169226862,chuubei,1,2.0,77,2
55,167890338,yoshiyasu,4,3.0,83,3
56,167890338,chuubei,1,1.0,71,2
57,167786982,hirotada,2,1.0,81,1
58,167786982,satsuki,1,0.0,77,3
59,167501962,chuubei,1,3.0,78,3
60,167501962,kinko,2,1.5,76,2
61,167760242,kinko,2,3.0,79,3
62,167760242,hirotada,1,2.0,79,1
63,167774236,satsuki,1,3.0,81,4
64,166800770,hirotada,2,3.0,81,1
65,166800770,mitsukuni,1,2.0,80,2
66,166829544,kinko,2,3.0,83,3
67,166829544,satsuki,3,0.0,63,2
68,166284076,satsuki,2,3.0,84,4
69,166646517,satsuki,3,3.0,85,2
70,166646517,kinko,1,2.0,82,2
71,166238832,yoshiyasu,2,3.0,84,2
72,166238832,umegae,3,0.0,72,3
73,165815471,hirotada,2,3.0,86,1
74,166657835,kinko,1,2.0,83,3
75,166657835,hirotada,3,1.0,81,2
76,166824187,chuubei,1,3.0,80,3
77,166824187,kinko,4,2.0,80,1
78,166395113,umegae,4,3.0,89,4
79,166293411,yoshiyasu,2,3.0,87,3
80,165592794,hiroshige,1,1.0,75,2
81,165592794,umegae,2,0.0,73,2
82,165820332,kinko,4,3.0,91,3
83,165834220,hirotada,4,3.0,86,2
84,165509171,yoshiyasu,4,3.0,76,1
85,165509171,hirotada,3,2.0,70,2
86,164929090,yoshiyasu,3,2.0,71,3
87,165485565,zenemon,2,3.0,79,1
