,table_id,traveler,position,placement,points,achievements
0,106292102,kinko,3,2.0,93,2
1,106292102,sasayakko,1,0.0,85,1
2,111571502,jirocho,2,2.0,76,2
3,111571502,umegae,4,0.0,64,1
4,108912705,zenemon,1,3.0,96,1
5,108912705,chuubei,3,1.0,83,2
6,107297270,zenemon,3,3.0,91,1
7,107297270,kinko,4,2.0,82,1
8,107297270,chuubei,1,1.0,78,3
9,103449879,daigoro,4,3.0,108,2
10,103449879,kita,1,2.0,93,2
11,100828502,umegae,4,3.0,90,2
12,100828502,chuubei,1,1.0,78,2
13,109588562,kinko,3,3.0,99,2
14,109588562,chuubei,4,2.0,85,3
15,110279357,jirocho,2,3.0,89,1
16,110279357,zenemon,1,1.0,82,2
17,107001575,yoshiyasu,4,3.0,92,2
18,107001575,umegae,1,2.0,90,2
19,102505258,sasayakko,4,2.0,93,1
20,102505258,miyataka,3,0.0,72,2
21,103061976,yoshiyasu,1,3.0,102,3
22,103061976,daigoro,2,2.0,102,2
23,102985213,hirotada,4,3.0,94,2
24,102985213,jirocho,3,2.0,89,3
25,100996426,chuubei,2,3.0,100,2
26,100996426,zenemon,4,2.0,91,3
27,115633684,umegae,3,3.0,95,2
28,115633684,mitsukuni,1,1.0,92,3
29,114442533,jirocho,1,2.0,83,2
30,114442533,nampo,4,0.0,72,1
31,113105583,hiroshige,2,3.0,86,3
32,113105583,chuubei,1,0.0,70,1
33,108436261,yoshiyasu,3,3.0,95,3
34,108436261,hirotada,4,1.0,86,2
35,108258475,mitsukuni,2,3.0,94,1
36,108258475,chuubei,4,1.0,76,2
37,106017282,kita,3,3.0,98,3
38,106017282,kinko,2,1.0,82,1
39,114105024,chuubei,4,2.0,86,3
40,114105024,zenemon,3,0.0,73,2
41,113762783,hirotada,1,3.0,99,2
42,113762783,kinko,3,2.0,97,2
43,105870706,mitsukuni,3,1.0,93,1
44,105870706,chuubei,1,0.0,82,1
45,108138785,gotozaemon,2,3.0,109,4
46,108138785,jirocho,4,2.0,86,1
47,108349895,gotozaemon,3,3.0,92,1
48,108349895,kita,4,2.0,87,2
49,105875021,umegae,2,2.0,98,4
50,105875021,kinko,3,1.0,67,1
