,table_id,traveler,position,placement,points,achievements
0,88030659,kinko,1,2.0,81,2
1,88030659,umegae,2,1.0,77,2
2,88030659,yoshiyasu,4,0.0,73,1
3,87454397,zenemon,2,3.0,79,2
4,87454397,yoshiyasu,1,1.5,77,2
5,87454397,kinko,4,1.5,77,2
6,87454397,chuubei,3,0.0,76,2
7,78102296,zenemon,1,2.0,76,2
8,78102296,yoshiyasu,3,1.0,75,2
9,78102296,umegae,4,0.0,63,1
10,80354452,yoshiyasu,3,3.0,81,3
11,80354452,hirotada,2,1.0,75,2
12,80354452,mitsukuni,4,0.0,69,2
13,80349535,zenemon,1,3.0,82,3
14,80349535,chuubei,3,2.0,79,2
15,80349535,umegae,2,1.0,79,1
16,89448271,hiroshige,2,3.0,77,5
17,89448271,hirotada,4,1.5,74,2
18,89448271,kinko,3,1.5,74,2
19,88343284,hirotada,3,3.0,87,3
20,88343284,umegae,1,2.0,71,1
21,88343284,mitsukuni,2,1.0,70,2
22,82368022,umegae,4,3.0,83,1
23,82368022,yoshiyasu,2,2.0,76,2
24,82368022,chuubei,1,0.0,70,3
25,99098566,hirotada,4,3.0,82,1
26,99098566,hiroshige,2,2.0,76,2
27,99098566,umegae,1,1.0,73,3
28,99687931,mitsukuni,2,3.0,75,2
29,99687931,kinko,4,2.0,71,4
30,99687931,zenemon,1,1.0,66,1
31,97137339,umegae,4,3.0,86,3
32,97137339,kinko,3,2.0,77,2
33,97137339,zenemon,2,1.0,72,2
34,132263832,kinko,1,3.0,80,3
35,132263832,sasayakko,2,1.0,74,3
36,132263832,yoshiyasu,4,0.0,73,1
37,123951593,hirotada,4,2.5,78,2
38,123951593,yoshiyasu,2,2.5,78,2
39,123951593,umegae,1,1.0,72,0
40,123951593,chuubei,3,0.0,70,3
41,134481595,hirotada,2,2.0,74,1
42,134481595,chuubei,4,1.0,73,3
43,134481595,sasayakko,3,0.0,71,2
44,124572295,umegae,4,3.0,80,2
45,124572295,hirotada,1,1.0,78,2
46,124572295,zenemon,3,0.0,75,0
47,119069456,chuubei,3,2.0,83,2
48,119069456,umegae,4,1.0,78,3
49,119069456,kinko,2,0.0,72,2
50,119053385,zenemon,3,3.0,79,3
51,119053385,kinko,2,2.0,76,3
52,119053385,hirotada,1,1.0,73,2
53,118332167,chuubei,4,3.0,84,2
54,118332167,yoshiyasu,2,2.0,77,2
55,118332167,umegae,1,1.0,72,1
56,131250179,mitsukuni,4,2.0,77,2
57,131250179,hirotada,3,1.0,67,1
58,131250179,kinko,1,0.0,64,2
59,131231206,hirotada,2,3.0,87,3
60,131231206,hiroshige,1,2.0,74,2
61,131231206,kinko,4,1.0,74,1
62,131231206,yoshiyasu,3,0.0,65,2
63,131222868,chuubei,4,3.0,80,3
64,131222868,hirotada,1,2.0,75,1
65,131222868,mitsukuni,2,1.0,71,1
66,131222868,yoshiyasu,3,0.0,65,2
67,130082484,mitsukuni,3,2.0,79,2
68,130082484,zenemon,4,0.5,74,3
69,130082484,kinko,2,0.5,74,3
70,124063672,hirotada,4,3.0,83,2
71,124063672,chuubei,2,2.0,77,3
72,124063672,kinko,1,1.0,75,2
73,120707384,chuubei,1,3.0,86,4
74,120707384,hirotada,3,2.0,78,2
75,120707384,zenemon,4,0.0,70,2
76,120690448,yoshiyasu,4,3.0,84,2
77,120690448,hirotada,3,2.0,82,1
78,120690448,mitsukuni,1,1.0,75,3
79,120690448,chuubei,2,0.0,65,1
80,116810299,hirotada,3,2.0,78,2
81,116810299,yoshiyasu,4,1.0,77,3
82,116810299,chuubei,2,0.0,65,1
83,126649472,kinko,3,3.0,92,3
84,126649472,yoshiyasu,2,2.0,75,3
85,126649472,umegae,4,1.0,74,3
86,131501816,chuubei,1,3.0,79,2
87,131501816,yoshiyasu,4,2.0,76,2
88,131501816,hirotada,3,1.0,76,1
89,134327883,kinko,3,3.0,89,3
90,134327883,umegae,4,2.0,89,2
91,134327883,chuubei,2,1.0,78,2
92,124585734,chuubei,1,3.0,89,3
93,124585734,hirotada,3,2.0,83,2
94,124585734,kinko,2,1.0,79,2
95,124585734,satsuki,4,0.0,70,3
96,126785896,hirotada,4,3.0,89,2
97,126785896,yoshiyasu,2,2.0,78,1
98,126785896,zenemon,3,0.0,64,2
99,124917440,kinko,4,3.0,78,3
100,124917440,chuubei,2,2.0,76,3
101,124917440,hirotada,3,1.0,76,0
102,124097361,hirotada,2,3.0,80,2
103,124097361,mitsukuni,3,2.0,79,2
104,124097361,yoshiyasu,1,1.0,78,3
105,121373578,kinko,2,3.0,77,4
106,121373578,hirotada,1,2.0,73,2
107,121373578,umegae,4,0.5,67,1
108,121015220,kinko,4,3.0,82,3
109,121015220,yoshiyasu,3,1.0,72,1
110,121015220,umegae,1,0.0,56,0
111,131529302,hirotada,2,3.0,78,3
112,131529302,chuubei,3,2.0,73,3
113,131529302,umegae,1,0.0,67,0
114,119776092,kinko,1,3.0,84,1
115,119776092,yoshiyasu,4,2.0,75,2
116,119776092,zenemon,3,1.0,72,2
117,117584924,hirotada,4,3.0,82,2
118,117584924,umegae,2,1.0,75,0
119,117584924,hiroshige,1,0.0,65,2
120,117400613,kinko,3,3.0,87,2
121,117400613,yoshiyasu,4,2.0,86,2
122,117400613,chuubei,2,1.0,76,2
123,116136347,zenemon,2,3.0,79,3
124,116136347,hirotada,3,2.0,79,2
125,116136347,umegae,1,0.0,69,1
126,185047235,kinko,2,2.0,82,1
127,185047235,hiroshige,3,1.0,73,2
128,185047235,zenemon,1,0.0,67,1
129,182165400,hirotada,3,3.0,80,4
130,182165400,yoshiyasu,1,2.0,80,2
131,182165400,umegae,2,0.0,77,1
132,167587892,chuubei,3,3.0,82,2
133,167587892,mitsukuni,2,1.0,79,3
134,167587892,kinko,4,0.0,72,3
135,184615998,hirotada,1,3.0,85,3
136,184615998,umegae,4,2.0,79,0
137,184615998,kinko,2,1.0,71,1
138,184475636,hiroshige,2,3.0,77,3
139,184475636,yoshiyasu,4,1.0,75,2
140,184475636,mitsukuni,1,0.0,62,0
141,184279852,chuubei,1,3.0,83,4
142,184279852,sasayakko,3,2.0,79,3
143,184279852,kinko,4,1.0,78,2
144,184279852,umegae,2,0.0,70,1
145,184093762,chuubei,4,3.0,80,2
146,184093762,hirotada,2,2.0,80,1
147,184093762,kinko,3,0.0,76,3
148,184084055,chuubei,4,3.0,86,3
149,184084055,kinko,2,1.0,81,1
150,184084055,yoshiyasu,1,0.0,67,2
151,184038677,umegae,2,3.0,83,3
152,184038677,hirotada,3,2.0,80,2
153,184038677,chuubei,4,1.0,77,4
154,184038677,satsuki,1,0.0,67,0
155,183785637,chuubei,2,3.0,84,3
156,183785637,kinko,1,2.0,80,1
157,183785637,satsuki,4,1.0,76,2
158,183785637,yoshiyasu,3,0.0,76,1
159,183334266,zenemon,3,3.0,83,2
160,183334266,kinko,2,2.0,82,3
161,183334266,mitsukuni,4,0.0,67,1
162,182676216,sasayakko,2,3.0,85,2
163,182676216,yoshiyasu,4,2.0,80,2
164,182676216,umegae,3,1.0,71,2
165,182423604,hirotada,3,3.0,81,1
166,182423604,chuubei,2,1.0,70,3
167,182423604,zenemon,1,0.0,64,1
168,182328860,yoshiyasu,1,2.5,77,2
169,182328860,chuubei,4,2.5,77,2
170,182328860,satsuki,3,0.0,72,2
171,182275986,chuubei,3,3.0,83,3
172,182275986,kinko,1,2.0,80,1
173,182275986,sasayakko,4,0.0,67,2
174,182261086,kinko,1,3.0,76,1
175,182261086,hirotada,4,1.0,71,3
176,182261086,yoshiyasu,2,0.0,69,1
177,182023729,kinko,2,3.0,86,3
178,182023729,umegae,1,2.0,82,2
179,182023729,hirotada,4,1.0,73,0
180,179553852,hirotada,4,3.0,100,4
181,179553852,yoshiyasu,2,2.0,78,3
182,179553852,chuubei,1,1.0,77,4
183,175445066,chuubei,3,3.0,81,3
184,175445066,hirotada,2,2.0,81,2
185,175445066,kinko,4,0.0,66,2
