,table_id,traveler,position,placement,points,achievements
0,104584350,zenemon,4,3.0,94,3
1,101140342,kinko,4,2.0,82,2
2,137100251,jirocho,1,2.0,92,2
3,160949624,mitsukuni,3,1.0,84,1
4,159591600,chuubei,1,3.0,96,1
5,159591600,zenemon,4,2.0,89,4
6,158061004,mitsukuni,2,1.0,81,2
7,158061004,satsuki,3,0.0,81,1
8,161031214,chuubei,1,0.0,70,1
9,149621536,chuubei,2,2.0,90,1
10,160465672,kinko,4,3.0,92,1
11,160230322,hiroshige,4,2.0,85,3
12,159607708,hirotada,3,3.0,98,2
13,159607708,kinko,2,0.0,75,4
14,156395115,hiroshige,2,3.0,90,3
15,152591322,hirotada,1,3.0,95,3
16,150769686,kita,1,0.0,76,1
17,154186590,kita,4,3.0,101,3
18,154168334,umegae,2,3.0,90,3
19,149855059,kita,1,2.0,84,3
20,150485149,chuubei,2,0.0,72,2
21,154428750,hirotada,3,1.0,82,2
22,153918582,kinko,1,3.0,101,3
23,194474486,daigoro,1,1.0,83,2
24,194378889,daigoro,3,3.0,94,2
25,194320528,zenemon,3,3.0,87,2
26,194281334,umegae,2,3.0,93,3
27,194281334,zenemon,1,2.0,91,1
28,194178913,kinko,4,3.0,94,2
29,193918647,chuubei,2,3.0,92,2
30,193903008,kinko,2,2.0,89,2
31,193704222,satsuki,4,3.0,96,3
32,193683434,chuubei,3,3.0,91,3
33,193683434,umegae,4,2.0,81,1
34,193681700,chuubei,4,2.0,88,4
35,193681700,yoshiyasu,1,1.0,82,1
36,193632631,satsuki,4,3.0,97,3
37,193412832,hiroshige,4,2.0,89,3
38,193211699,mitsukuni,4,1.0,86,2
39,192722022,chuubei,2,3.0,90,3
40,192712785,kinko,4,3.0,103,3
41,192717161,mitsukuni,1,1.0,91,2
42,192482068,yoshiyasu,4,3.0,97,1
43,192466640,nampo,1,0.0,79,2
44,192203756,hirotada,4,2.0,92,2
45,192092299,satsuki,1,3.0,95,3
46,192092299,chuubei,2,2.0,85,2
47,192090142,chuubei,4,3.0,92,3
48,192090142,daigoro,1,2.0,90,2
49,192082915,hirotada,1,3.0,97,1
50,192082915,kinko,3,1.0,92,1
51,192076056,satsuki,3,3.0,92,3
52,192076056,umegae,1,1.0,75,0
53,192050283,kinko,4,1.0,83,0
54,192014208,mitsukuni,4,1.0,85,0
55,191638428,kinko,2,3.0,103,1
56,191638428,hirotada,3,2.0,86,2
57,191627245,jirocho,3,2.0,96,1
58,191615296,chuubei,2,0.0,66,2
59,191582006,sasayakko,1,0.0,79,1
60,191544759,yoshiyasu,3,3.0,95,2
61,191544759,zenemon,2,1.0,92,1
62,191492722,mitsukuni,4,0.0,76,2
63,191252669,kinko,3,1.0,83,1
64,189591229,satsuki,4,3.0,93,2
65,189567350,kinko,3,3.0,93,2
66,187282089,satsuki,4,2.0,87,3
67,187282089,daigoro,1,1.0,86,1
68,187242551,yoshiyasu,2,3.0,92,3
69,185849773,chuubei,3,3.0,86,3
70,185422585,hiroshige,4,3.0,103,4
71,185367063,gotozaemon,3,3.0,91,3
72,185367063,kinko,2,1.0,82,2
73,186044628,yoshiyasu,2,3.0,95,1
74,186044628,daigoro,4,1.0,75,1
75,186815978,umegae,4,3.0,91,2
76,187080097,chuubei,3,3.0,94,4
77,187080097,zenemon,1,2.0,93,3
78,187080097,umegae,2,1.0,90,3
79,185346856,nampo,3,2.0,80,2
80,185346856,zenemon,1,1.0,77,2
81,194268229,gotozaemon,4,2.0,85,2
82,193822005,kita,1,2.0,83,2
83,193815857,satsuki,1,0.0,78,2
84,193802809,umegae,1,1.0,80,1
85,193803541,yoshiyasu,3,2.0,91,0
86,186632927,yoshiyasu,1,3.0,90,2
87,186632927,umegae,2,2.0,89,3
88,186632927,chuubei,3,1.0,88,3
89,190039027,yoshiyasu,2,1.0,88,2
90,190034163,kinko,2,2.0,88,0
91,185418394,yoshiyasu,1,3.0,101,3
92,185418394,satsuki,3,2.0,90,3
93,186548456,satsuki,3,2.0,100,4
94,186267251,hirotada,2,3.0,97,3
95,191239114,chuubei,1,2.0,81,2
96,191239114,jirocho,4,1.0,81,1
97,188098763,yoshiyasu,4,1.0,83,3
98,188994623,umegae,2,3.0,96,2
99,187473361,yoshiyasu,2,3.0,95,2
100,187473361,kinko,3,0.0,76,2
101,187235507,yoshiyasu,1,3.0,97,1
102,187235507,hirotada,2,2.0,93,2
103,186674621,umegae,4,2.0,82,3
104,186674621,yoshiyasu,3,0.0,80,1
105,186666670,satsuki,4,3.0,93,4
106,186672808,mitsukuni,4,3.0,90,2
107,185697715,kita,4,3.0,99,3
108,185874959,gotozaemon,2,1.0,75,1
109,186785186,chuubei,1,1.0,89,2
110,185460895,hiroshige,2,1.0,85,3
111,185665488,umegae,1,3.0,91,3
112,185420982,hirotada,4,3.0,104,0
113,193032833,kinko,4,3.0,97,2
114,192223653,yoshiyasu,4,2.0,95,1
115,192124831,satsuki,3,2.0,91,1
116,190088428,jirocho,3,1.0,79,1
117,188680967,hiroshige,1,2.0,96,3
118,185461421,yoshiyasu,3,2.0,81,1
119,189793027,hirotada,4,3.0,90,1
120,189793027,kita,2,1.0,83,2
121,188592126,yoshiyasu,3,3.0,96,2
122,188592126,daigoro,2,2.0,91,2
123,187554297,umegae,3,3.0,87,1
124,187554297,daigoro,1,2.0,82,1
125,190266798,kita,3,1.0,83,2
126,187943887,hirotada,2,3.0,92,3
127,187252643,umegae,2,2.0,86,1
