,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,128,1.984375,1.0038067307783434,88.453125,7.494732402129348,2.03125
zenemon,0.0546875,7,2.0,0.816496580927726,89.0,5.802298395176403,2.2857142857142856
kinko,0.125,16,1.9375,1.1236102527122116,89.5625,8.906692240482247,1.75
jirocho,0.03125,4,1.5,0.5773502691896257,87.0,8.286535263104035,1.25
mitsukuni,0.0546875,7,1.1428571428571428,0.8997354108424372,84.71428571428571,5.154748157905347,1.5714285714285714
chuubei,0.125,16,1.9375,1.181453906563152,85.625,8.891006692158093,2.375
satsuki,0.09375,12,2.1666666666666665,1.1146408580454257,91.08333333333333,6.41671585970911,2.6666666666666665
hiroshige,0.046875,6,2.1666666666666665,0.752772652709081,91.33333333333333,7.004760286167305,3.1666666666666665
hirotada,0.0859375,11,2.5454545454545454,0.6875516509523286,93.27272727272727,6.018154353137,1.9090909090909092
kita,0.0546875,7,1.7142857142857142,1.1126972805283737,87.0,9.291573243177568,2.2857142857142856
umegae,0.1015625,13,2.230769230769231,0.8320502943378436,87.0,5.958187643906492,2.0
daigoro,0.0546875,7,1.7142857142857142,0.7559289460184545,85.85714285714286,6.466028441750299,1.5714285714285714
yoshiyasu,0.125,16,2.25,1.0,91.125,6.520480554887551,1.625
nampo,0.015625,2,1.0,1.4142135623730951,79.5,0.7071067811865476,2.0
sasayakko,0.0078125,1,0.0,,79.0,,1.0
gotozaemon,0.0234375,3,2.0,1.0,83.66666666666667,8.082903768654761,2.0
1,0.2421875,31,1.7096774193548387,1.0706243781736826,87.09677419354838,8.271859277936159,1.8387096774193548
2,0.2421875,31,1.935483870967742,1.0307112065937039,87.90322580645162,7.794676981588899,2.129032258064516
3,0.234375,30,1.9666666666666666,1.0333518722845685,88.23333333333333,6.30097602364703,1.9333333333333333
4,0.28125,36,2.2777777777777777,0.8489021855519754,90.27777777777777,7.40506047476458,2.1944444444444446
