,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,1144,1.5,1.1128376786565146,76.3618881118881,6.623361866617781,2.020104895104895
hirotada,0.17132867132867133,196,1.5918367346938775,1.0533145213563007,77.24489795918367,5.928741336547589,1.7653061224489797
kinko,0.17395104895104896,199,1.7462311557788945,1.0705768136728493,77.91959798994975,6.493475189726368,2.040201005025126
umegae,0.11888111888111888,136,1.3529411764705883,1.1040626107091995,75.48529411764706,6.946339610681883,1.7720588235294117
yoshiyasu,0.14335664335664336,164,1.396341463414634,1.1410838805998087,76.29878048780488,5.7697964132978985,1.896341463414634
zenemon,0.08479020979020979,97,1.3865979381443299,1.1422409321500597,75.28865979381443,6.977581306833391,2.0103092783505154
chuubei,0.1346153846153846,154,1.8084415584415585,1.0924548897344675,78.18831168831169,6.407480800039049,2.675324675324675
mitsukuni,0.06643356643356643,76,0.9802631578947368,1.0596879712874105,73.47368421052632,8.050629266023083,1.736842105263158
satsuki,0.033216783216783216,38,1.0394736842105263,1.0486901672354567,73.05263157894737,6.567517810019381,2.026315789473684
sasayakko,0.028846153846153848,33,1.106060606060606,1.1163387125832913,72.87878787878788,6.665009263673119,1.9696969696969697
hiroshige,0.044580419580419584,51,1.5686274509803921,1.0441245512061157,74.98039215686275,5.001960399996911,2.4705882352941178
1,0.25,286,1.3164335664335665,1.0672357509953796,75.4055944055944,6.300362297839606,1.9580419580419581
2,0.25,286,1.6468531468531469,1.109499915533578,77.00699300699301,6.421997834741509,2.13986013986014
3,0.25,286,1.5874125874125875,1.088721583011322,76.96503496503496,6.5318787361167825,2.0314685314685317
4,0.25,286,1.4493006993006994,1.1600285237567796,76.06993006993007,7.1098156510266755,1.951048951048951
