,frequency,count,placement avg,placement std,points avg,points std,achievements avg
all,1.0,240,1.5,1.1185016875734264,85.42916666666666,8.70021300978434,1.9791666666666667
zenemon,0.07083333333333333,17,1.0588235294117647,1.1974237050483694,82.11764705882354,9.313178518510588,1.7647058823529411
yoshiyasu,0.12083333333333333,29,1.5517241379310345,1.1287226312629348,86.27586206896552,8.855573514234404,1.6551724137931034
satsuki,0.05416666666666667,13,1.1538461538461537,1.0681880176381129,82.6923076923077,9.826703545141807,2.3076923076923075
gotozaemon,0.058333333333333334,14,0.7142857142857143,0.9138735334633752,78.28571428571429,9.21894847523355,1.8571428571428572
kita,0.07083333333333333,17,1.4705882352941178,1.0675700831106785,85.88235294117646,8.673828112064886,2.4705882352941178
kinko,0.12083333333333333,29,1.4655172413793103,1.0684688183393778,87.0,7.801098823700598,1.8620689655172413
umegae,0.07083333333333333,17,2.0,1.0,89.11764705882354,9.733205747216438,2.0588235294117645
chuubei,0.1,24,2.0625,0.9361403183562675,86.91666666666667,6.781795752099027,2.5833333333333335
daigoro,0.04583333333333333,11,1.5454545454545454,1.0357254813546264,85.81818181818181,7.19469501533153,1.6363636363636365
hirotada,0.12916666666666668,31,1.8064516129032258,1.1081322074767577,88.38709677419355,6.391021928480812,1.8387096774193548
hiroshige,0.041666666666666664,10,1.8,1.0327955589886444,86.9,5.363456596884761,2.5
jirocho,0.0375,9,1.7777777777777777,1.3017082793177759,87.33333333333333,8.732124598286491,1.7777777777777777
nampo,0.016666666666666666,4,1.0,1.1547005383792515,82.25,5.188127472091127,2.25
sasayakko,0.020833333333333332,5,0.4,0.8944271909999161,78.4,11.696153213770756,1.2
mitsukuni,0.03333333333333333,8,0.875,1.1259916264596033,81.125,11.407234546549834,1.875
miyataka,0.008333333333333333,2,0.5,0.7071067811865476,70.5,4.949747468305833,1.0
1,0.25,60,1.225,1.158699592544466,83.86666666666666,8.607183965688723,1.6166666666666667
2,0.25,60,1.6416666666666666,1.07786538366845,86.65,7.561779451595786,2.0166666666666666
3,0.25,60,1.575,1.1230444397081185,86.15,9.231164974133062,2.0166666666666666
4,0.25,60,1.5583333333333333,1.0934770644121803,85.05,9.245108647187717,2.2666666666666666
