,table_id,traveler,position,placement,points,achievements
0,150192549,mitsukuni,3,2.0,83,2
1,151350876,daigoro,1,3.0,99,1
2,154892196,satsuki,3,2.0,91,2
3,154193996,yoshiyasu,4,3.0,90,2
4,155006173,chuubei,2,3.0,98,3
5,154227424,hiroshige,1,2.0,86,1
6,151798792,kinko,2,3.0,97,2
7,151530712,kinko,1,2.0,89,2
8,149875834,mitsukuni,1,0.0,67,1
9,149011910,jirocho,4,2.0,91,2
10,145715613,kinko,1,1.0,87,0
11,149468914,yoshiyasu,4,2.0,82,1
12,150485149,kinko,4,3.0,96,2
13,148350899,hirotada,3,1.0,85,0
14,148455056,mitsukuni,1,3.0,89,2
15,147020406,daigoro,1,3.0,109,3
16,145950262,zenemon,1,2.0,79,1
17,145471171,chuubei,3,3.0,97,2
18,147950525,jirocho,4,3.0,93,2
19,147538149,hirotada,2,3.0,88,0
20,144804974,chuubei,2,3.0,84,1
21,142584029,chuubei,4,3.0,100,0
22,140423487,jirocho,4,2.0,88,0
23,143462786,yoshiyasu,1,3.0,98,1
24,141100885,satsuki,4,2.0,92,1
25,141708666,jirocho,2,2.0,98,2
26,139762027,kinko,4,3.0,105,1
27,136964877,kinko,4,3.0,91,1
28,137706992,yoshiyasu,3,3.0,94,0
29,136887779,jirocho,4,3.0,108,3
30,137920460,jirocho,3,1.0,83,1
31,137179442,kinko,1,2.0,96,2
32,160828903,daigoro,1,3.0,108,3
33,160518968,daigoro,2,3.0,97,2
34,160493288,zenemon,4,2.0,72,2
35,160493594,kinko,2,2.0,84,2
36,160484931,hirotada,3,1.0,88,1
37,160465672,kinko,4,3.0,92,1
38,160448947,umegae,1,2.0,85,0
39,160393251,umegae,1,3.0,89,3
40,160290702,kinko,4,1.0,85,1
41,160254775,chuubei,4,3.0,96,2
42,160230322,hiroshige,4,2.0,85,3
43,160025047,hiroshige,2,1.0,79,1
44,160014545,jirocho,4,3.0,91,2
45,159616433,kita,2,2.0,90,2
46,159607708,hirotada,3,3.0,98,2
47,159245605,hirotada,1,3.0,97,3
48,159165363,daigoro,2,2.0,93,3
49,158751825,kinko,3,3.0,108,2
50,158739154,hirotada,4,2.0,87,2
51,158658530,kinko,4,1.0,77,1
52,158632617,hiroshige,1,2.0,88,3
53,158352640,kinko,3,3.0,114,3
54,157610330,hirotada,2,3.0,104,2
55,157479141,kita,2,2.0,82,2
56,157403856,chuubei,1,3.0,109,3
57,156879987,kita,1,1.0,82,1
58,156851908,zenemon,1,1.0,90,0
59,156425129,mitsukuni,2,2.0,89,2
60,156415191,chuubei,4,3.0,99,4
61,156395115,hiroshige,2,3.0,90,3
62,156379524,hirotada,1,3.0,92,2
63,152604444,hirotada,4,0.5,82,2
64,152591322,hirotada,1,3.0,95,3
65,150769686,kita,1,0.0,76,1
66,150734706,chuubei,2,3.0,98,3
67,148850918,kinko,4,3.0,107,2
68,139736120,kita,3,1.0,82,0
69,137590485,hirotada,2,1.0,90,1
70,137450376,chuubei,2,2.0,90,1
71,137440634,hirotada,3,0.0,77,2
72,137185815,chuubei,3,2.0,80,2
73,137136550,hiroshige,3,2.0,93,2
74,137129777,kita,4,0.0,67,1
75,152102116,daigoro,3,2.0,90,1
76,151899221,gotozaemon,3,3.0,80,1
77,151612485,kinko,3,3.0,86,2
78,148629206,umegae,2,3.0,84,0
79,149054132,daigoro,4,1.0,77,2
80,149004536,yoshiyasu,3,2.0,94,3
81,147572978,kita,3,1.0,80,1
82,141634295,kita,3,3.0,88,3
83,141634295,jirocho,4,1.0,72,0
84,141205077,hirotada,3,3.0,90,1
85,141205077,kinko,2,2.0,88,2
86,140810289,mitsukuni,1,3.0,88,2
87,136990183,umegae,2,3.0,97,2
88,141794555,kinko,3,3.0,91,2
89,138695558,miyataka,2,3.0,90,4
90,137433583,hirotada,4,1.0,86,0
91,137865708,umegae,4,1.0,84,1
92,139239530,umegae,3,2.0,85,3
93,138177366,yoshiyasu,1,3.0,91,2
94,139477399,umegae,1,1.0,82,2
95,137354732,yoshiyasu,1,3.0,97,1
96,136863618,yoshiyasu,3,3.0,103,3
97,137151968,jirocho,2,2.0,89,2
98,136864829,yoshiyasu,1,3.0,89,3
99,137100251,jirocho,1,2.0,92,2
100,136822585,yoshiyasu,1,1.0,80,2
101,154428750,hirotada,3,1.0,82,2
102,153918582,kinko,1,3.0,101,3
103,143900535,kinko,1,3.0,95,2
104,141866306,chuubei,2,3.0,94,3
105,141094436,mitsukuni,2,2.0,77,2
106,141361457,yoshiyasu,3,3.0,83,5
107,140353348,hirotada,4,3.0,105,2
108,140754889,yoshiyasu,4,3.0,89,2
109,141909195,daigoro,1,3.0,95,2
110,140497257,jirocho,4,3.0,103,2
111,141982787,chuubei,1,3.0,105,2
112,140742066,mitsukuni,4,3.0,86,2
113,139898153,kinko,1,3.0,91,2
114,141953671,chuubei,3,3.0,88,3
115,140980944,gotozaemon,3,3.0,90,2
116,141019720,sasayakko,4,2.0,80,1
117,141197175,jirocho,2,3.0,101,1
118,140612103,yoshiyasu,3,2.0,95,2
119,141707666,umegae,4,3.0,96,3
120,139200307,gotozaemon,3,3.0,94,1
121,141061009,chuubei,1,3.0,82,2
122,140715504,zenemon,1,2.0,79,2
123,141179923,kinko,3,3.0,99,1
124,140206956,hirotada,1,3.0,93,2
125,139627566,hirotada,1,3.0,104,2
126,140680861,mitsukuni,4,3.0,87,1
127,140000428,zenemon,3,2.0,89,2
128,140099948,kinko,4,3.0,97,4
129,138171891,yoshiyasu,2,0.0,71,2
130,140690164,zenemon,4,0.0,72,2
131,138996011,kinko,2,3.0,94,2
132,137242563,chuubei,1,3.0,97,4
133,140313594,satsuki,2,2.0,92,3
134,138459744,kita,3,3.0,95,2
135,138453092,umegae,1,2.0,92,2
136,140078005,umegae,3,3.0,102,3
137,138629203,satsuki,2,1.0,78,1
138,138634853,sasayakko,4,1.0,63,1
139,136978278,gotozaemon,3,3.0,94,1
140,139139676,zenemon,4,3.0,101,3
141,136971596,jirocho,1,3.0,86,2
142,140419432,yoshiyasu,2,3.0,94,1
143,137004810,zenemon,3,2.0,90,2
144,139101075,gotozaemon,3,3.0,97,2
145,137004189,yoshiyasu,1,3.0,98,1
146,137124071,kinko,3,0.0,75,2
147,158315790,kinko,3,3.0,100,3
148,156428606,nampo,3,3.0,85,4
149,155951170,hiroshige,3,3.0,105,3
150,160748016,kinko,1,1.0,89,2
151,156081830,daigoro,3,3.0,104,2
152,156139491,satsuki,2,3.0,84,1
153,156641637,satsuki,2,3.0,99,3
154,156230900,zenemon,1,2.0,94,2
155,156557295,gotozaemon,2,3.0,99,3
156,156337311,hiroshige,4,3.0,98,2
157,155882662,hirotada,1,3.0,109,2
158,156358144,chuubei,3,3.0,90,2
159,155979047,sasayakko,1,2.0,88,2
160,155637886,yoshiyasu,2,3.0,94,2
161,152144514,hirotada,4,3.0,97,1
162,148068775,hirotada,3,3.0,99,2
163,143109120,mitsukuni,1,2.0,89,2
164,141167405,kinko,2,2.0,87,2
165,141001942,kinko,3,3.0,97,2
166,140998968,daigoro,3,3.0,107,3
167,140394841,chuubei,2,1.0,84,3
168,140382752,kinko,4,3.0,92,1
169,139044344,kita,4,2.0,88,3
170,139041072,zenemon,3,3.0,88,2
171,138881347,hiroshige,3,1.0,79,2
172,138570080,umegae,4,0.0,84,0
173,138562520,hirotada,2,3.0,84,3
174,138547207,chuubei,1,2.0,97,3
175,138531119,jirocho,3,3.0,98,2
176,138521087,hirotada,3,3.0,97,2
177,160949624,mitsukuni,3,1.0,84,1
178,159591600,chuubei,1,3.0,96,1
179,158061004,mitsukuni,2,1.0,81,2
180,109588562,kinko,3,3.0,99,2
181,110279357,jirocho,2,3.0,89,1
182,107001575,yoshiyasu,4,3.0,92,2
183,106476318,yoshiyasu,3,2.0,87,3
184,106476318,mitsukuni,1,1.0,72,0
185,104689539,mitsukuni,4,3.0,100,2
186,104689539,zenemon,2,2.0,88,3
187,106267028,umegae,1,3.0,98,2
188,106267028,yoshiyasu,4,1.0,71,2
189,106267028,miyataka,2,0.0,67,1
190,103128634,kita,3,3.0,98,3
191,102505258,sasayakko,4,2.0,93,1
192,104402688,umegae,2,2.0,91,3
193,104402688,jirocho,4,1.0,82,2
194,103061976,yoshiyasu,1,3.0,102,3
195,104584350,zenemon,4,3.0,94,3
196,104584350,gotozaemon,3,0.0,64,2
197,103449879,daigoro,4,3.0,108,2
198,103449879,kita,1,2.0,93,2
199,101228498,kinko,1,3.0,92,3
200,102985213,hirotada,4,3.0,94,2
201,100754361,kinko,4,3.0,100,3
202,100754361,jirocho,3,0.0,64,1
203,102155469,satsuki,3,3.0,93,3
204,102271755,kinko,2,2.0,88,1
205,100204190,kinko,1,2.0,104,2
206,102244202,umegae,3,2.0,90,2
207,102861496,umegae,1,3.0,104,3
208,102861496,zenemon,2,2.0,83,2
209,101178817,chuubei,4,3.0,84,2
210,101135740,kinko,1,3.0,97,2
211,101135740,gotozaemon,2,2.0,85,1
212,100970370,chuubei,4,2.0,83,2
213,100970370,mitsukuni,2,0.0,71,1
214,101140342,kinko,4,2.0,82,2
215,101140342,umegae,3,1.0,73,2
216,101140342,satsuki,2,0.0,71,3
217,100996426,chuubei,2,3.0,100,2
218,101089491,daigoro,1,3.0,89,2
219,100673226,daigoro,3,2.0,85,1
220,101158258,nampo,4,1.0,81,3
221,101158258,satsuki,3,0.0,80,1
222,100202128,hirotada,1,3.0,97,2
223,101263093,chuubei,4,3.0,101,2
224,100493121,kita,1,1.0,74,1
225,100493121,satsuki,3,0.0,69,2
226,115622334,chuubei,3,3.0,93,4
227,115550798,kita,2,2.0,89,2
228,115553513,jirocho,4,2.0,80,3
